ID,Route,Type1910,Type1920,Type1930,Type1940,Type1943,Mileage,Peak1910,OffPeak1910,Peak1920,OffPeak1920,Peak1930,OffPeak1930,Peak1940,OffPeak1940
1,West Hartford,Trolley,Trolley,Trolley,Bus,Bus,1.376689279,10,10,10,10,5,5,,
2,Vine St,Trolley,Trolley,Trolley,Trolley,Bus,1.337303645,20,20,15,15,12,12,10,20
3,Windsor Ave,Trolley,Trolley,Trolley,Trolley,Bus,1.074400498,15,15,15,15,15,15,12,15
4,Barbour St,Trolley,Trolley,Trolley,Trolley,Bus,1.172894567,15,15,10,10,10,10,12,15
5,Park St,Trolley,Trolley,Both,Both,Bus,0.842054734,20,20,10,10,12,12,12,15
6,Broad St,Trolley,Trolley,Bus,Bus,Bus,1.277668741,10,10,10,10,,,,
7,Zion St,Trolley,Trolley,Trolley,Bus,Bus,1.19316061,20,20,10,10,12,12,,
8,Cedar Hill,Trolley,Trolley,Trolley,Bus,Bus,1.065173192,30,30,15,30,20,20,,
9,Franklin Ave,Trolley,Trolley,Trolley,Trolley,Bus,1.70100527,15,15,10,10,10,10,10,10
10,New Britain,Trolley,Trolley,Trolley,Both,Bus,0.880458175,30,30,30,15,20,20,10,20
11,Vernon St,Trolley,Trolley,,,,0.20968474,30,30,30,30,,,,
12,Huyshope Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.806264254,20,20,30,30,30,30,20,
13,Ashley St,Trolley,Trolley,Trolley,Bus,Bus,1.056729882,10,10,10,10,10,15,,
14,Asylum Ave,Trolley,Trolley,Bus,Bus,Bus,0.867117292,10,10,10,10,,,,
15,Rainbow,Trolley,Trolley,Bus,Bus,Bus,5.756875159,60,60,30,30,,,,
16,East Hartford,Trolley,Trolley,Trolley,Bus,Bus,1.676628965,10,10,8,10,10,30,,
17,East Windsor Hill,Trolley,Trolley,Trolley,Bus,Bus,4.529727242,30,30,60,60,30,60,,
18,South Glastonbury,Trolley,Trolley,Bus,Bus,Bus,4.028106065,30,30,30,30,,,,
19,Prospect Ave S,Trolley,Trolley,Trolley,,,0.368358341,20,20,20,20,20,20,,
20,Wethersfield Ave,Trolley,Trolley,Both,Both,Bus,1.429611325,15,15,15,15,10,10,10,10
21,New Park Ave,Trolley,Trolley,Trolley,Bus,Bus,1.15628897,30,30,30,30,20,20,,
22,Newington,Trolley,Trolley,Trolley,Bus,Bus,1.836090537,30,30,30,15,20,30,,
23,Manchester Depot,Trolley,Trolley,Bus,Bus,Bus,1.199331009,,,30,30,,,,
24,Burnside,Trolley,Trolley,Trolley,Bus,Bus,2.410816169,10,10,15,30,15,30,,
25,Rockville,Trolley,Trolley,,,,13.34198529,60,60,60,60,,,,
26,Pearl St,Trolley,Trolley,Trolley,Bus,Bus,0.333298686,,,10,10,20,20,,
27,Market St,Trolley,Trolley,Trolley,Both,Bus,0.02589102,5,5,5,5,10,10,10,10
28,Retreat Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.446101533,30,30,15,15,20,20,10,20
29,Capitol Ave,Trolley,Both,Both,Bus,Bus,0.54887994,15,15,10,10,20,20,,
30,Albany Ave,Trolley,Trolley,Bus,Bus,Bus,1.199679419,,,15,30,,,,
31,Blue Hills Ave,Trolley,Trolley,,,,2.971986077,,,30,30,,,,
32,South Manchester,Trolley,Trolley,Trolley,Bus,Bus,0.786253969,30,30,15,30,15,30,,
33,Unionville-Farmington,Trolley,Trolley,Trolley,Bus,Bus,8.081837964,30,60,20,20,60,60,,
34,Wethersfield,Trolley,Trolley,Trolley,Trolley,Bus,1.318197691,15,15,15,15,10,20,10,20
35,Main St,Trolley,Trolley,Trolley,Trolley,Bus,0.212130754,15,15,10,10,10,10,10,10
36,Windsor,Trolley,Trolley,Trolley,Bus,Bus,4.121891517,15,15,15,15,30,30,,
37,Albany Ave,Trolley,Trolley,Trolley,Both,Bus,0.564459457,15,15,15,15,10,10,10,10
38,Albany Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.331021825,15,15,10,10,10,10,10,10
39,State St,Trolley,Trolley,Trolley,Both,Bus,0.09854587,5,5,5,5,5,5,10,10
40,High St,,Bus,Bus,Bus,Bus,0.436841632,,,,,,,,
41,Albany Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.450958408,15,15,15,15,10,10,10,10
42,Windsor Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.766399544,15,15,10,10,10,10,12,15
43,Main St,Trolley,Both,Both,Both,Bus,0.307929126,15,15,10,10,10,10,10,10
44,Maple Ave,,Bus,Bus,Bus,Bus,1.117919377,,,,,,,,
45,Campfield Ave,,Bus,Bus,Bus,Bus,1.130813694,,,,,,,,
46,Sisson Ave,Trolley,Trolley,,,,0.663608312,30,30,30,30,,,,
47,Lafayette St,Trolley,,,,,0.336775466,10,10,10,10,,,,
48,Capitol Ave,,Bus,Bus,Bus,Bus,0.972229651,,,,,,,,
49,Main St West Hartford,,Bus,Bus,Bus,Bus,2.849954508,,,,,,,,
50,Capitol Ave,Trolley,Trolley,Trolley,Bus,Bus,0.292806146,15,15,10,10,20,20,,
51,Broad St,Trolley,Both,Both,Bus,Bus,0.266999149,15,15,10,10,20,20,,
52,,,Bus,Bus,Bus,Bus,0.374107779,,,,,,,,
53,Prospect Ave S,Trolley,Trolley,Trolley,Bus,Bus,0.166367654,20,20,20,20,20,20,,
54,Prospect Ave S,Trolley,Both,Both,Bus,Bus,0.032601741,20,20,20,20,20,20,,
55,,,,Bus,Bus,Bus,0.798355781,,,,,,,,
56,Prospect Ave S,Trolley,Trolley,,,,0.463576331,20,20,20,20,,,,
57,,,Bus,Bus,Bus,Bus,0.336257567,,,,,,,,
58,,,Bus,Bus,Bus,Bus,4.857771083,,,,,,,,
59,,,,Bus,Bus,Bus,2.368113378,,,,,,,,
60,,,,Bus,Bus,Bus,1.115270591,,,,,,,,
61,,Trolley,Trolley,Bus,Bus,Bus,0.558611759,20,20,20,20,,,,
62,New Britain,,,Bus,Bus,Bus,0.046342716,,,,,,,,
63,,,,Bus,Bus,Bus,1.503953819,,,,,,,,
64,,,,Bus,Bus,Bus,1.813137614,,,,,,,,
65,Main St,Trolley,Trolley,Trolley,Both,Bus,0.12313199,15,15,10,10,10,10,10,10
66,Pearl St,Trolley,Trolley,Trolley,Both,Bus,0.07421785,5,5,5,5,10,10,10,10
67,South Glastonbury,Trolley,Trolley,Bus,Bus,Bus,3.817361698,30,30,30,30,,,,
68,Park St,Trolley,Trolley,Trolley,Trolley,Bus,0.898497224,20,20,20,20,15,15,12,15
69,New Park Ave,Trolley,Trolley,Both,Bus,Bus,0.317117072,30,30,20,20,20,20,,
70,,,,Bus,Bus,Bus,0.445998931,,,,,,,,
71,Blue Hills Ave,Trolley,Trolley,Trolley,Both,Bus,1.255005018,30,30,15,15,10,10,10,10
72,,,,Bus,Bus,Bus,0.773457803,,,,,,,,
73,New Britain,Trolley,Trolley,Both,Both,Bus,0.283498909,30,30,15,15,20,20,10,20
74,,,,Bus,Bus,Bus,0.298397185,,,,,,,,
75,Maple Ave,,Bus,Bus,Bus,Bus,0.697951086,,,,,,,,
76,Maple Ave,,Bus,Bus,Bus,Bus,0.058308761,,,,,,,,
77,,,,Bus,Bus,Bus,0.641247252,,,,,,,,
78,Wethersfield Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.631878723,15,15,15,15,10,10,10,10
79,,,,Bus,Bus,Bus,1.40866591,,,,,,,,
80,West Hartford,Trolley,Trolley,Trolley,Bus,Bus,0.705635168,5,5,5,5,5,5,,
81,West Hartford,Trolley,Trolley,Both,Bus,Bus,0.08654841,5,5,5,5,5,5,,
82,Main St,Trolley,Both,Both,Both,Bus,0.209657732,15,15,10,10,10,10,10,10
83,Main St,Trolley,Both,Both,Both,Bus,0.119508163,15,15,10,10,10,10,10,10
84,,Trolley,Trolley,Bus,Bus,Bus,9.936727425,60,60,60,60,,,,
85,,Other,,,,,12.93236834,,,,,,,,
86,,Trolley,Trolley,Trolley,,,0.929536215,30,30,30,15,20,30,,
87,Griswoldville,Trolley,Trolley,Trolley,Trolley,Bus,2.499147303,,,60,30,30,30,30,30
88,,Trolley,Trolley,Bus,Bus,Bus,7.117055348,60,60,60,60,,,,
89,,Trolley,Trolley,Bus,Bus,Bus,8.2630726,,,60,30,,,,
90,,Trolley,Trolley,Trolley,,,3.733490207,30,30,30,15,20,30,,
91,,,,Bus,Bus,Bus,0.851751368,,,,,,,,
92,,,,Bus,Bus,Bus,0.64085205,,,,,,,,
93,,,,Bus,Bus,Bus,6.342312051,,,,,,,,
94,,,,Bus,Bus,Bus,0.746181073,,,,,,,,
95,,Trolley,Trolley,Bus,Bus,Bus,4.984156143,60,60,60,60,,,,
96,,Trolley,Trolley,Bus,Bus,Bus,2.33668703,60,60,60,60,,,,
97,Manchester Green,Trolley,Trolley,Bus,Bus,Bus,1.378123048,,,60,60,,,,
98,,,,Bus,Bus,Bus,8.404019175,,,,,,,,
99,,,,Bus,Bus,Bus,1.320543295,,,,,,,,
100,,,,Bus,Bus,Bus,1.621863111,,,,,,,,
101,Blue Hills Ave,Trolley,Trolley,,,,1.110539777,,,30,30,,,,
102,,,,,Bus,Bus,1.386451637,,,,,,,,
103,,Other,,,,,4.968384973,,,,,,,,
104,East Windsor Hill,Trolley,Trolley,Trolley,Bus,Bus,0.978316304,30,30,30,30,30,30,,
105,East Windsor Hill,Trolley,Trolley,Trolley,Bus,Bus,0.374971942,10,10,15,30,10,30,,
106,West Hartford,Trolley,Trolley,Trolley,Bus,Bus,1.075491343,5,5,5,5,5,5,,
107,,,,,Bus,Bus,0.98679462,,,,,,,,
108,,,,,Bus,Bus,0.221578503,,,,,,,,
109,,,,,Bus,Bus,1.058024759,,,,,,,,
110,Oakwood,,,,Bus,Bus,1.177885742,,,,,,,,
111,,,,,Bus,Bus,2.528457557,,,,,,,,
112,,Trolley,Trolley,Trolley,Bus,Bus,1.020889185,30,30,30,15,20,30,,
113,,,,,Bus,Bus,0.450021421,,,,,,,,
114,,,,,Bus,Bus,0.332712861,,,,,,,,
115,Blue Hills Ave,Trolley,Trolley,Trolley,Trolley,Bus,0.803450139,30,30,15,15,10,10,10,10
116,,,,,Bus,Bus,3.212482327,,,,,,,,
117,,,,,Bus,Bus,1.317589334,,,,,,,,
118,,,,,Bus,Bus,1.148100714,,,,,,,,
119,New Britain,Trolley,Trolley,Trolley,Both,Bus,1.328695023,30,30,30,30,20,20,20,20
120,Trinity St,Trolley,Trolley,Trolley,Bus,Bus,0.298297437,10,10,10,10,20,20,,
