Route,Type1910,Type1920,Type1930,Type1940,Type1950,Type1960,Type1970,Type1980,OffPeak1910,Peak1910,OffPeak1920,Peak1920,OffPeak1940,Peak1940,Peak_Freq,Opeak_Freq,Mileage
West Hartford,Trolley,Trolley,Trolley,Bus,,,,,10,10,10,10,0,0,5,5,1.37668927895
Vine St,Trolley,Trolley,Trolley,Trolley,,,,,20,20,15,15,20,10,12,12,1.33730364517
Windsor Ave,Trolley,Trolley,Trolley,Trolley,,,,,15,15,15,15,15,12,15,15,1.07440049786
Barbour St,Trolley,Trolley,Trolley,Trolley,,,,,15,15,10,10,15,12,10,10,1.17289456704
Park St,Trolley,Trolley,Both,Both,,,,,20,20,10,10,15,12,12,12,0.842054734141
Broad St,Trolley,Trolley,Bus,Bus,,,,,10,10,10,10,0,0,0,0,1.27766874124
Zion St,Trolley,Trolley,Trolley,Bus,,,,,20,20,10,10,0,0,12,12,1.19316060952
Cedar Hill,Trolley,Trolley,Trolley,Bus,,,,,30,30,30,15,0,0,20,20,1.06517319161
Franklin Ave,Trolley,Trolley,Trolley,Trolley,,,,,15,15,10,10,10,10,10,10,1.70100526989
New Britain,Trolley,Trolley,Trolley,Both,,,,,30,30,15,30,20,10,20,20,0.880458175361
Vernon St,Trolley,Trolley,NA,NA,,,,,30,30,30,30,0,0,0,0,0.209684740276
Huyshope Ave,Trolley,Trolley,Trolley,Trolley,,,,,20,20,30,30,0,20,30,30,0.806264254225
Ashley St,Trolley,Trolley,Trolley,Bus,,,,,10,10,10,10,0,0,10,15,1.05672988157
Asylum Ave,Trolley,Trolley,Bus,Bus,,,,,10,10,10,10,0,0,0,0,0.867117291633
Rainbow,Trolley,Trolley,Bus,Bus,,,,,60,60,30,30,0,0,0,0,5.75687515888
East Hartford,Trolley,Trolley,Trolley,Bus,,,,,10,10,10,8,0,0,10,30,1.67662896467
East Windsor Hill,Trolley,Trolley,Trolley,Bus,,,,,30,30,60,60,0,0,30,60,4.52972724222
South Glastonbury,Trolley,Trolley,Bus,Bus,,,,,30,30,30,30,0,0,0,0,4.0281060651
Prospect Ave S,Trolley,Trolley,Trolley,NA,,,,,20,20,20,20,0,0,20,20,0.368358341347
Wethersfield Ave,Trolley,Trolley,Both,Both,,,,,15,15,15,15,10,10,10,10,1.42961132478
New Park Ave,Trolley,Trolley,Trolley,Bus,,,,,30,30,30,30,0,0,20,20,1.15628897042
Newington,Trolley,Trolley,Trolley,Bus,,,,,30,30,15,30,0,0,20,30,1.83609053714
Manchester Depot,Trolley,Trolley,Bus,Bus,,,,,0,0,30,30,0,0,0,0,1.19933100921
